,account,twitter_link,text,date,likes,comments
10,JoeBiden,https://twitter.com/JoeBiden/status/1745551424505663761#m,"The Affordable Care Act is more popular than ever.  Thanks to our efforts, millions of Americans are saving hundreds or thousands of dollars each year on health insurance premiums, and most people who shop for coverage at https://HealthCare.gov can find a plan for $10 a month or less.","Jan 11, 2024 · 9:01 PM UTC",8770,3027
11,JoeBiden,https://twitter.com/JoeBiden/status/1745508403844157619#m,"This week, we hit a major milestone in lowering costs and ensuring all Americans have access to quality, affordable health care: a record-breaking 20 million Americans have enrolled in health care coverage through the Affordable Care Act marketplaces.","Jan 11, 2024 · 6:10 PM UTC",11351,3345
12,JoeBiden,https://twitter.com/JoeBiden/status/1745470711148261673#m,They showed me the clip of Trump saying he wanted the economy to crash so he could gain politically. Says he doesn’t want to be Hoover.   Here's the thing: He already is. He’s the first president since Hoover to lose jobs while in office. Some record.,"Jan 11, 2024 · 3:40 PM UTC",62452,14628
13,JoeBiden,https://twitter.com/JoeBiden/status/1745290159304622336#m,Just like he said: he did it.,"Jan 11, 2024 · 3:42 AM UTC",68360,10837
14,JoeBiden,https://twitter.com/JoeBiden/status/1745214205676949814#m,"Trump exhausted every legal avenue available to him to overturn the election, but the legal path just took him back to the truth: that I won the election—and he lost.","Jan 10, 2024 · 10:41 PM UTC",57163,25987
15,JoeBiden,https://twitter.com/JoeBiden/status/1745177453734051976#m,"After a historic movement for justice in the summer of 2020, I signed the most significant police reform executive order in history.   Now, Congress has to step up and make it the law of the land.","Jan 10, 2024 · 8:15 PM UTC",7919,3015
16,JoeBiden,https://twitter.com/POTUS/status/1745108307742797876#m,"Folks, I have two big announcements.   A record-breaking 20 million Americans have enrolled in health care coverage through the ACA.   And you have until January 16 join them and get covered this season at https://HealthCare.gov.","Jan 10, 2024 · 3:40 PM UTC",16924,4901
17,JoeBiden,https://twitter.com/JoeBiden/status/1744826399431500124#m,Let me be clear for those who don't seem to know: Slavery was the cause of the Civil War.,"Jan 9, 2024 · 9:00 PM UTC",74088,20819
18,JoeBiden,https://twitter.com/JoeBiden/status/1744765499395694709#m,You can’t be pro-insurrectionist and pro-American.,"Jan 9, 2024 · 4:58 PM UTC",26254,13760
19,JoeBiden,https://twitter.com/JoeBiden/status/1744500250214039626#m,"It was great to be back with my friends at Mother Emanuel Church in South Carolina.  Because of this congregation and the Black community of South Carolina, I stand here today as your president. That’s a fact.","Jan 8, 2024 · 11:24 PM UTC",15187,3925
20,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1548293372430802944#m,"Women are not the property of their State, so they can travel between them for any reason they damn well please.","Jul 16, 2022 · 1:08 PM UTC",188657,3238
21,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1743623954001219620#m,"I agree! That's why @RepJasonCrow, @RepDanGoldman, and I introduced a resolution to honor @CapitolPolice, whose actions in the face of personal danger preserved our 220+ year tradition of democratic transitions of power, and permanently designate Jan. 6th as Democracy Day in 🇺🇸.","Jan 6, 2024 · 1:22 PM UTC",46,53
22,RepDeanPhillips,https://twitter.com/HuffPost/status/1743378271914410019#m,The Other Jan. 6 Tapes: Newly Obtained Videos Show Trauma Of Attack On House Democrats https://www.huffpost.com/entry/other-jan-6-tapes-show-trauma_n_65983871e4b0bfe5ff63172e?d_id=7146828&ncid_tag=tweetlnkushpmg00000067&utm_medium=Social&utm_source=Twitter&utm_campaign=us_main,"Jan 5, 2024 · 9:05 PM UTC",59,15
23,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1737515827954438574#m,"Americans are begging us to bring their health care costs down and outcomes up, so today, I'm cosponsoring #MedicareForAll. I thank @RepJayapal for her leadership and look forward to building a system that prioritizes people over profits. My statement: https://phillips.house.gov/news/documentsingle.aspx?DocumentID=1006","Dec 20, 2023 · 4:50 PM UTC",57,30
24,RepDeanPhillips,https://twitter.com/RepDeanPhillips/status/1737515826784186523#m,"Listening to and learning from my constituents, community & colleagues taught me that America doesn't have a health care system. We have a sick care system, and it's time for an overhaul. #MedicareForAll isn’t just the right decision, it’s the pragmatic and financially sound one.","Dec 20, 2023 · 4:50 PM UTC",174,105
